line,path,repo_name
from sklearn import metrics,AstroML/solutions/exercise_01.py,diego0020/va_course_2015
from sklearn import metrics,elaspic/machine_learning.py,ostrokach/elaspic
from sklearn import metrics,svm.py,EFavDB/svm-classification
from sklearn import metrics,tensorflow/examples/learn/iris_run_config.py,sandeepgupta2k4/tensorflow
from sklearn import metrics,examples/resnet.py,dansbecker/skflow
from sklearn import metrics,tensorflow/examples/skflow/resnet.py,rew4332/tensorflow
from sklearn import metrics,tensorflow/examples/learn/text_classification_cnn.py,mengxn/tensorflow
from sklearn import metrics,tensorflow/examples/learn/text_classification_character_rnn.py,benoitsteiner/tensorflow-opencl
from sklearn import metrics,unsec/clusterizer.py,Fougere87/unsec
from sklearn import metrics,code/evaluate.py,jashwanth9/Expert-recommendation-system
from sklearn import metrics,2_word2vec/new_test.py,lixiaosi33/-Classification-on-Chinese-Magazine-
from sklearn import metrics,ml/metrics.py,shawnhermans/olivaw
from sklearn import metrics,examples/scikit-learn/examples/general/clustering_text_documents_using_k-means.py,KellyChan/python-examples
from sklearn import metrics,tensorflow/examples/learn/text_classification_cnn.py,shakamunyi/tensorflow
from sklearn import metrics,tensorflow/examples/learn/boston.py,pierreg/tensorflow
from sklearn import metrics,tensorflow/examples/learn/boston.py,XueqingLin/tensorflow
from sklearn import metrics,tensorflow/examples/learn/iris_custom_decay_dnn.py,adamtiger/tensorflow
from sklearn import metrics,tensorflow/examples/learn/iris_custom_decay_dnn.py,ravindrapanda/tensorflow
from sklearn import metrics,src/data/pre_process_k_means.py,jfconavarrete/kaggle-facebook
from sklearn import metrics,tensorflow/examples/learn/text_classification.py,wangyum/tensorflow
from sklearn import metrics,tensorflow/examples/learn/text_classification.py,gojira/tensorflow
from sklearn import metrics,tensorflow/examples/skflow/iris_run_config.py,neilhan/tensorflow
from sklearn import metrics,tensorflow/examples/learn/text_classification_character_cnn.py,rdipietro/tensorflow
from sklearn import metrics,tensorflow/examples/learn/boston.py,ppwwyyxx/tensorflow
from sklearn import metrics,geolife/cluster_points/plot_dbscan.py,haicg/datamining-geolife-with-python
from sklearn import metrics,release/python/0.1.0/crankshaft/crankshaft/segmentation/segmentation.py,CartoDB/crankshaft
from sklearn import metrics,LR/shuffle_v8.py,RenqinCai/python_dataset
from sklearn import metrics,tensorflow/examples/learn/iris_val_based_early_stopping.py,jbedorf/tensorflow
from sklearn import metrics,tensorflow/examples/learn/iris_val_based_early_stopping.py,elingg/tensorflow
from sklearn import metrics,preds.py,opotowsky/learn-me-fuel
from sklearn import metrics,tensorflow/examples/skflow/text_classification_builtin_rnn_model.py,shishaochen/TensorFlow-0.8-Win
from sklearn import metrics,examples/text/document_clustering.py,mjudsp/Tsallis
from sklearn import metrics,tensorflow/examples/learn/text_classification_cnn.py,cg31/tensorflow
from sklearn import metrics,tensorflow/examples/learn/text_classification_character_rnn.py,HKUST-SING/tensorflow
from sklearn import metrics,engine/classifications/sentiment/classify.py,rbjarnason/active-citizen
from sklearn import metrics,allinpay projects/creditscorelogisticvaropt/creditscore.py,allinpaybusiness/ACS
from sklearn import metrics,jni-build/jni/include/tensorflow/examples/skflow/iris_run_config.py,natanielruiz/android-yolo
from sklearn import metrics,tensorflow/examples/learn/text_classification_cnn.py,jhaux/tensorflow
from sklearn import metrics,online_pmi.py,PhyloStar/AutoCogPhylo
from sklearn import metrics,tensorflow/examples/learn/iris_custom_decay_dnn.py,jart/tensorflow
from sklearn import metrics,main.py,Edouard360/text-mining-challenge
from sklearn import metrics,tensorflow/examples/learn/multiple_gpu.py,alheinecke/tensorflow-xsmm
from sklearn import metrics,Clustering/clustering/clusteringAmplitudePeak.py,creyesp/RF_Estimation
